Customer ID,Customer Name,Segment,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Avg_Discount,Profit_Margin_%,Avg_Order_Value,Avg_Discount_%
TC-20980,Tamara Chand,Corporate,19052.218,8981.323900000001,5,42,0.11666666666666665,47.14,3810.44,11.67
RB-19360,Raymond Buch,Consumer,15117.339,6976.0959,6,71,0.09444444444444444,46.15,2519.56,9.44
SC-20095,Sanjit Chand,Consumer,14142.333999999999,5757.411899999999,9,87,0.06363636363636364,40.71,1571.37,6.36
HL-15040,Hunter Lopez,Consumer,12873.297999999999,5622.4292000000005,6,50,0.018181818181818184,43.68,2145.55,1.82
AB-10105,Adrian Barton,Consumer,14473.570999999998,5444.8055,10,73,0.24,37.62,1447.36,24.0
TA-21385,Tom Ashbrook,Home Office,14595.62,4703.7883,4,36,0.07999999999999999,32.23,3648.9,8.0
CM-12385,Christopher Martinez,Consumer,8954.019999999999,3899.8903999999998,4,34,0.12,43.55,2238.5,12.0
KD-16495,Keith Dawkins,Corporate,8181.256,3038.6254,12,84,0.08750000000000001,37.14,681.77,8.75
AR-10540,Andy Reiter,Consumer,6608.448,2884.6208,6,33,0.06666666666666668,43.65,1101.41,6.67
DR-12940,Daniel Raglin,Home Office,8350.868,2869.0759999999996,8,57,0.15384615384615383,34.36,1043.86,15.38
