Customer ID,Customer Name,Segment,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Avg_Discount,Profit_Margin_%,Avg_Order_Value,Avg_Discount_%
SM-20320,Sean Miller,Home Office,25043.05,-1980.7393,5,50,0.24666666666666667,-7.91,5008.61,24.67
TC-20980,Tamara Chand,Corporate,19052.218,8981.323900000001,5,42,0.11666666666666665,47.14,3810.44,11.67
RB-19360,Raymond Buch,Consumer,15117.339,6976.0959,6,71,0.09444444444444444,46.15,2519.56,9.44
TA-21385,Tom Ashbrook,Home Office,14595.62,4703.7883,4,36,0.07999999999999999,32.23,3648.9,8.0
AB-10105,Adrian Barton,Consumer,14473.570999999998,5444.8055,10,73,0.24,37.62,1447.36,24.0
KL-16645,Ken Lonsdale,Consumer,14175.229000000001,806.855,12,113,0.19999999999999998,5.69,1181.27,20.0
SC-20095,Sanjit Chand,Consumer,14142.333999999999,5757.411899999999,9,87,0.06363636363636364,40.71,1571.37,6.36
HL-15040,Hunter Lopez,Consumer,12873.297999999999,5622.4292000000005,6,50,0.018181818181818184,43.68,2145.55,1.82
SE-20110,Sanjit Engle,Consumer,12209.438000000002,2650.6769,11,78,0.1105263157894737,21.71,1109.95,11.05
CC-12370,Christopher Conant,Consumer,12129.072000000002,2177.0493,5,34,0.2818181818181818,17.95,2425.81,28.18
